id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,30,UI0039,C***r,5,"Mantap, emang feel PBT beda dibanding ABS",Lebih dari 1 tahun lalu,Varian: Classic Black
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,31,UI0040,J***e,5,"seller fast resp mantap, proses cepat, barang aman, mantappp",Lebih dari 1 tahun lalu,Varian: Classic Black
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,32,UI0041,Arif,5,"huruf dan symbol besar, cahaya led tembus merata, gak licin, material lumayan tebal",Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,33,UI0029,Dave,5,barang sampai dengan selamat tanpa kekurangan apapun buat keyboard jadi aman seperti baru,Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,34,UI0042,E***o,4,Dus e kacau tp barang oke,Lebih dari 1 tahun lalu,Varian: Classic White
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,35,UI0012,K***h,5,"Memuaskan, kualitas bagus, bahan tebal. terimakasih",Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,36,UI0043,O***k,5,"Duotone black-grey. Keycaps yang black warnanya agak beda dengan bawaan dari keyboard tecware phantom 87, condong ke abu2 gelap. Di beberapa keycaps ga ada label buat...",Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,37,UI0044,F***e,5,gak nyangka finishing nya bagus banget. sebelumnya beli caps murah 200an. setelah ganti ini tekstur nya lebih smooth (walau ga se smooth abs bawaan keychron) tapi experie...,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
PI2584,Bundling Promo XLite V2 Mini Wireless + Paracontrol Mousepad V2,1,UI0045,Muhamad,5,"sungguh kombo yg mantap! emang bener tangan lebih cocok ke ukuran v2 mini, lebih enak buat claw grip dibanding versi normal, mousepad paracontrol juga enak karena gak ter...",Lebih dari 1 tahun lalu,none
PI2585,Corsair MM300 - Gaming Mousepad,1,UI0046,Johanes,5,Barang original dan pengeriman cepat,Lebih dari 1 tahun lalu,Varian: M
